Date ,Problems Found (if any) ,Advice/ solution given
15.08.27,Amon Rice information,Excessive water from transplanted field shoud be drained out.
18.08.24,Rotting in Cucumber,Spraying mancozeb + Carbendazim group fungicide as per instruction in sunny time
18.08.24,Rotting in Cucumber,Spraying mancozeb + Carbendazim group fungicide as per instruction in sunny time
18.08.24,Rotting in Cucumber,Spraying mancozeb + Carbendazim group fungicide as per instruction in sunny time
18.08.24,Vegetable leaf roll,Spraying abamecting as per instruction.
18.08.24,Vegetable leaf roll,Spraying abamecting as per instruction.
18.08.24,Vegetable leaf roll,Spraying abamecting as per instruction.
18.08.24,Yellowish leaf of bitter gourd,Spraying mancozeb + Carbendazim group fungicide as per instruction in sunny time
18.08.24,Yellowish leaf of bitter gourd,Spraying mancozeb + Carbendazim group fungicide as per instruction in sunny time
19.08.24,Amar Bon bed damaged by rainfall,Amar Bon bed should be fixed at sunny time.
19.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
19.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
19.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
19.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
19.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
19.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
19.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
19.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
19.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
20.08.24,Vegetable bed was damaged by rainfall,Excessive water should be drain out and prepare new bed with mulching.
20.08.24,vegetable plant is rotten,spray Carbendazim fungicide as per instruction
20.08.24,vegetable plant is rotten,spray Carbendazim fungicide as per instruction
20.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
20.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
20.08.24,Aman Rice Information,Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting.
21.08.24,Fish pond bank damaged,Damaged area should be covered by soil and polythene.
21.08.24,Roll of Chilli,Spray Boron and Zinc along with Bio ferty as a vitamin. After 5 days spary fungicide as per requirement.
21.08.24,Aman Rice Information,Stugnant water should be drain out by pump .
21.08.24,Aman Rice Information,Stugnant water should be drain out by pump .
21.08.24,Black spot in bottle gourd leaf.,Spray fungicide at the sunny time.
21.08.24,Aman Rice Information,Stugnant water should be drain out by pump .
21.08.24,Vegetable cultivation information,At the time of bed preparation mulching should be used
21.08.24,Vegetable cultivation information,At the time of bed preparation mulching should be used
21.08.24,Aman Rice Information,Stugnant water should be drain out by pump .
21.08.24,Vegetable cultivation information,At the time of bed preparation mulching should be used
28.08.24,Vegetable cultivation information,It is suggested to bring fallow land under cultivation.
28.08.24,Fruit rof of bottle gourd,Spraying mancozeb + Carbendazim group fungicide as per instruction in sunny time
28.08.24,Damage of vegetable field,Proper drainage system should be done at the time of bed preparation
28.08.24,Damage of vegetable field,Proper drainage system should be done at the time of bed preparation
28.08.24,Damage of vegetable field,Proper drainage system should be done at the time of bed preparation
28.08.24,Vegetable cultivation information,At the time of bed preparation mulching should be used
28.08.24,Vegetable cultivation information,At the time of bed preparation mulching should be used
28.08.24,Vegetable cultivation information,At the time of bed preparation mulching should be used
01.9.24,Bed preparation for Amar Bon,According to our gouideline bed preparation should be done as soon as possible
01.9.24,Aman Rice Information,Stugnant water should be drain out by pump .
02.9.24,Weeds in Chilli field,Weeding should be done within 2 days
09.09.24,Root rot of YLB,Spray Carbendazim fengicide @1.5gm/L in the afternoon.
09.09.24,Leaf Roll of squash gourd,Spray Imidaclorpid + abamectin benzoate @1ml/L & 1gm/L.
09.09.24,Grey mold of bottle gourd,Apply Copper Oxycloride/ mancogeb fangicide.
09.09.24,Bacterial leaf blight of Rice,Spray 50-100gm Potash fertilizer with 10L water in 5 decimal land.
10.9.24,Vegetables bed preparation,Recommended sorjon method for vegetables bed preparation.
11.9.24,Aman Rice Information,Persing should be done in Rice field.
15.9.24,Weeds in bottle gourd field,Weeding should be done within 2 days
17.9.24,Vermicompost Information,After collecting compost from plant cowdung should be added again.
18.09.24,Vegetable cultivation information,At the time of bed preparation soil treatment should be done.
18.09.24,Vegetable cultivation information,At the time of bed preparation soil treatment should be done.
18.09.24,Vegetable cultivation information,At the time of bed preparation mulching should be used
18.09.24,Vegetable cultivation information,At the time of bed preparation mulching should be used
18.09.24,Vegetable cultivation information,At the time of bed preparation mulching should be used
18.09.24,Leaf Roll of squash gourd,Spray Imidaclorpid + abamectin benzoate @1ml/L & 1gm/L.
23.9.24,Seedling information,At the time of seeding must be used organic fertilizer along with cocopit/ soil in seedling tray.
24.09.24,Leaf spot of yardlong bean,Spraying mancozeb /Carbendazim group fungicide as per instruction in sunny time
25.09.24,Aphid of yardlong bean,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
25.09.24,Downy Mildew of Sweet Gourd,1. Severe affected plants should be removed and destroyed.                      2. Spraying Mancozeb 2g/lit twice at 10 days interval.
25.09.24,Management of rice from pests,Using Bamboo poles or tree branches for perching method at rice field
25.09.24,Vegetable Cultivation,Using organic fertilizer for bed preparation
25.09.24,White fly of okra,Use of yellow sticky trap to reduce infestation
25.09.24,Management of rice from pests,Cultivation of bean seedling at the Ail of rice field to reduce pests
25.09.24,Grey mold of bottle gourd,Spray Copper Oxichloride grup fungicide as per instruction
29.09.24,Vegetable Cultivation,Using organic fertilizer for bed preparation
29.09.24,Mite of Bitter Gourd,Spraying abamecting as per instruction.
29.09.24,Whitefly of Bottle Gourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
29.09.24,Vegetable Cultivation,Using organic fertilizer 
29.09.24,Whitefly of Bean,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
29.09.24,Whitefly of Sweet Gourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon
29.09.24,Vegetable Cultivation,Using organic fertilizer for bed preparation
29.09.24,Vegetable Cultivation,Using raise bed method for bed preparation
30.09.24,Vegetable Cultivation,Using organic fertilizer for bed preparation
01.10.24,Cucumber Mosaic Virus,Initially use Mehogany tree bark/fruit with Detergent as per instructon. If infestation become more than spray Asitamiprid group insecticide as per instruction
01.10.24,Sunflower field selction,Select raise land for cultivation
03.10.24,Sunflower field selction,Select raise land for cultivation
03.10.24,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed
03.10.24,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed
03.10.24,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed
03.10.24,Anthracnose of Bottle Gourd,Spraying mancozeb group fungicide as per instruction 
03.10.24,Anthracnose of Bottle Gourd,Spraying mancozeb group fungicide as per instruction
03.10.24,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed
03.10.24,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed
03.10.24,Leaf curl of YLB,"Spray Imidaclorpid
  insectiside 
 
 
   crushed Mehogany seed soakin water then
  spray in evenning
 
 
  It is advised to select high land.
 
 
  It is advised to select high land.
 
 
  Spray Copper
  oxicloride group fungicide and affected leaf should be destroyed
 
 
  It is advised to select high land.
 
 
  Spray Imidaclorpid insectiside 
 
 
  Spray Imidaclorpid insectiside"
03.10.24,Fungus in Cucurbit,crushed Mehogany seed soakin water then spray in evenning
03.10.24,Land selection for Sunflower,It is advised to select high land.
03.10.24,Land selection for Sunflower,It is advised to select high land.
03.10.24,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed
03.10.24,Land selection for Sunflower,It is advised to select high land.
03.10.24,Leaf curl of YLB,Spray Imidaclorpid insectiside
03.10.24,Leaf curl of YLB,Spray Imidaclorpid insectiside
06.10.24,Sunflower land selection,It is suggested to select high land.
06.10.24,Sunflower land selection,It is suggested to select high land.
7.10.24,Sunflower land selection,It is suggested to select high land.
7.10.24,Use of seedling tray,It is recommended to use seedling tray.
7.10.24,Care of Vermicompost,Produced compost should be collect and provide cowdung to the plant.
08.10.24,Anthracnose of bitter gourd,Spray Carbendazim fungicide
08.10.24,Gummy Stem blight of Sweet Gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed
08.10.24,Gummy Stem blight of Sweet Gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed
08.10.24,Bittle attrac in Potato Leaf,Spray neem leaf juice with detergent at leaf
08.10.24,Mosaic virus in pumpkin,Spray Mancozeb fungicide
08.10.24,Mosaic virus in pumpkin,Spray Mancozeb fungicide
08.10.24,Anthracnose of bitter gourd,Spray Carbendazim fungicide
08.10.24,Anthracnose of bitter gourd,Spray Carbendazim fungicide
08.10.24,Anthracnose of bitter gourd,Spray Carbendazim fungicide
08.10.24,Anthracnose of bitter gourd,Spray Carbendazim fungicide
08.10.24,Anthracnose of bitter gourd,Spray Carbendazim fungicide
9.10.24,Leaf spot in Chilli leaf,Recommended to apply mancozeb fungicide.
14.10.24,Land Preparation,Recommended to use bio fertilizer in land preparation.
14.10.24,Land Preparation,Recommended to use bio fertilizer in land preparation.
15.10.24,Land Preparation,Recommended to use bio fertilizer in land preparation.
16.10.24,Land Preparation,Recommended to use bio fertilizer in land preparation.
16.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
16.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
16.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
16.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
16.10.24,Leaf curl of Chilli,Apply Imidaclorpid insecticide
16.10.24,Leaf curl of Chilli,Apply Imidaclorpid insecticide
16.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
16.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
17.10.24,Land Preparation,Recommended to use bio fertilizer in land preparation.
20.10.24,Stem Rot of Rice,Suggested to spray propiconazol
20.10.24,Yellow stem borer of Rice,Advised to use light trap and pursing
20.10.24,Yellow stem borer of Rice,Advised to use light trap and pursing
20.10.24,Yellow stem borer of Rice,Advised to use light trap and pursing
20.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
20.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
20.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
20.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
20.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha
20.10.24,Care of vegetables,Advise to use organic fertilizer at the time of bed preparation
20.10.24,Care of vegetables,Advise to use organic fertilizer at the time of bed preparation
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Leaf curl of Chilli,Use Yellow sticky trap
23.10.24,Leaf curl of Chilli,Use Yellow sticky trap
23.10.24,Leaf curl of Chilli,Use Yellow sticky trap
23.10.24,Fruit rot of bottle gourd,Advise to apply zypsum .
23.10.24,Fruit rot of bottle gourd,Advise to apply zypsum .
23.10.24,Fruit rot of bottle gourd,Advise to apply zypsum .
23.10.24,Fruit rot of bottle gourd,Advise to apply zypsum .
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo
23.10.24,Milibug of Papaya,Spray soap water in whole plant.
23.10.24,Milibug of Papaya,Spray soap water in whole plant.
23.10.24,Milibug of Papaya,Spray soap water in whole plant.
29.10.14,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.
29.10.14,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.
29.10.14,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.
29.10.14,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.
29.10.14,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.
29.10.14,Mango leaf hopper,Spray Imidaclorpid (0.3%) at early stage.
29.10.14,Mango leaf hopper,Spray Imidaclorpid (0.3%) at early stage.
29.10.14,-,Information was given about organic pesticide.
29.10.14,-,Information was given about organic pesticide.
29.10.14,-,Information was given about organic pesticide.
4.11.24,-,Advised on climate adaptive agriculture
4.11.24,Fruit fly in pumpkin plan,Advised on use of pheromon trap and yellow sticky trap.
7.11.24,-,Advised on Sunflower cultivation
7.11.24,-,Advised on Sunflower cultivation
10.11.24,Care of Bottle gourd Plant,It is recommended to loosen the soil at the base of bottle gourd plant and apply organic fertilizers.
10.11.24,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.
10.11.24,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.
10.11.24,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.
10.11.24,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.
10.11.24,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.
10.11.24,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.
10.11.24,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.
10.11.24,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.
10.11.24,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.
10.11.24,Fruit damage of bottle gourd,Recommened to apply gypsum fertilizer.
13.11.24,-,It is advised to cut the paddy quickly when it is ripe.
13.11.24,Leaf Curl of chilli,Recommended to use yellow sticky trap and spray neem leaf juice along with detergent
13.11.24,-,It is advised to cut the paddy quickly when it is ripe.
13.11.24,Fruit fly in sponge gourd,Advised to use Pheromon trap
13.11.24,Aphid in Bean plant,Recommended to apply ash and neem leaf juice with detergent.
13.11.24,Aphid in Bean plant,Recommended to apply ash and neem leaf juice with detergent.
13.11.24,-,It is advised to cut the paddy quickly when it is ripe.
13.11.24,-,It is advised to cut the paddy quickly when it is ripe.
13.11.24,Land Preparation for potato,The soil should be treated be sowing.
17.11.24,Care of Bottle gourd Plant,It is recommended to loosen the soil at the base of bottle gourd plant and apply organic fertilizers.
19.11.24,Care of Vermicompost,Produced compost should be collect and provide cowdung to the plant.
24.11.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil.
24.11.24,Fruit fly in bottle gourd,Suggested to use pheromon trap.
24.11.24,Fruit fly in bottle gourd,Suggested to use pheromon trap.
24.11.24,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid
24.11.24,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid
24.11.24,-,Irrigation should be done in Amar Bon plant.
24.11.24,-,Irrigation should be done in Amar Bon plant.
24.11.24,Flower fall of vegetable,Spray boron fertilizer at recommended doze.
24.11.24,Flower fall of vegetable,Spray boron fertilizer at recommended doze.
24.11.24,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid
24.11.24,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid
24.11.24,-,Collect Aman rice from field and plough the land as soon as possible.
24.11.24,-,Collect Aman rice from field and plough the land as soon as possible.
24.11.24,-,Collect Aman rice from field and plough the land as soon as possible.
1.12.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil.
1.12.24,-,Sunflower seed should be dry in sun and after cooling soak in water.
2.12.24,Care of chili plant,Use of yellow sticky trap in chili field
03.12.24,Care of brinjal plant,Use of Bio fertilizer and yellow sticky trap
03.12.24,Care of Fish,"By measuring the pH of the water, it is suggested to give necessary nutrient to the water for fish."
03.12.24,Fruit fly in bottle gourd,Advised on use pheromon trap
03.12.24,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid
03.12.24,White fly in brinjal,Spray soap water or neem seed soaked water.
03.12.24,Leaf roll of Brinjal,Land should be clean and in severe case spray carbaril in the afternoon
03.12.24,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid
03.12.24,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid
03.12.24,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid
03.12.24,Wilt of bringal,Affected plant should be destroy and spray copper oxycloride + carbendazim fungicide.
03.12.24,Fruit fly in bottle gourd,Advised on use pheromon trap
03.12.24,Aphid in bean,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid
03.12.24,Aphid in YLB,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid
08.12.24,-,Use yellow sticky trap for fruit fly
08.12.24,-,Use yellow sticky trap for fruit fly
08.12.24,Sunflower Cultivation,Collect Aman rice from field and plough the land as soon as possible.
08.12.24,Sunflower Cultivation,Collect Aman rice from field and plough the land as soon as possible.
08.12.24,Downey Mildew of bottle gourd,Spray Mancozeb + Carbendazim in severe case.
08.12.24,Aphid in bean,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid
08.12.24,Aphid in bean,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid
08.12.24,-,Advised on climate adaptive homestead agriculture
08.12.24,-,Advised on climate adaptive homestead agriculture
08.12.24,Yellowish leaf of bottle gourd,Regular irrigation needed and apply urea fertilizer.
08.12.24,Sunflower cultivation,Row to row and plant toplant distance 30 inch and 18 inch accordingly.
08.12.24,Sunflower cultivation,Row to row and plant toplant distance 30 inch and 18 inch accordingly.
08.12.24,Land preparation,Apply Tricodarma 3kg/bigha for sunflower and maize land preparaton.
08.12.24,Land preparation,Apply Tricodarma 3kg/bigha for sunflower and maize land preparaton.
08.12.24,-,Advised on climate adaptive homestead agriculture
08.12.24,-,Advised on climate adaptive homestead agriculture
08.12.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.
08.12.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.
11.12.24,Wilt of bringal,Affected plant should be destroy and spray copper oxycloride + carbendazim fungicide.
12.12.24,Leaf Curl of Bottle gourd,Spray Imidaclorpid insecticide.
16.12.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.
17.12.24,Insect Attack on Brinjal,Use Yellow sticky trap
17.12.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.
17.12.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.
17.12.24,Fruit fly in bottle gourd,Advised on use pheromon trap
17.12.24,Leaf Curl of chili,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid
17.12.24,Leaf Curl of chili,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid
17.12.24,Sunflower cultivation,Row to row and plant toplant distance 30 inch and 18 inch accordingly.
17.12.24,Sunflower cultivation,Row to row and plant toplant distance 30 inch and 18 inch accordingly.
17.12.24,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid
17.12.24,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid
17.12.24,Sunflower cultivation,Sunflower seed should be dry in sun and after cooling soak in water.
17.12.24,Sunflower cultivation,Sunflower seed should be dry in sun and after cooling soak in water.
17.12.24,Brown spot on Chilli leaf,Suggested to Spray Copper Oxicloride
18.12.24,Mosaic on Bottle Gourd,Suggested to Spray Imidacloprid
22.12.24,Potato Cultivation,Suggested to use natural mulching and provide proper irrigation.
22.12.24,Potato Cultivation,Spray Ridomix gold 5g/L
22.12.24,Downey Mildew of bottle gourd,Spray Mancozeb + Carbendazim in severe case.
22.12.24,Leaf Curl of chili,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid
22.12.24,Leaf curl of cucumber,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid
22.12.24,Leaf curl of cucumber,Suggested to Spray soap water or neem seed soaked water and in severe case spray Imidaclorpid
22.12.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.
22.12.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.
22.12.24,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil and use tricodarma 3kg/bigha at land preparation time.
22.12.24,Scab on Bottle Gourd,Suggested crop rotation
24.12.24,Wilting of Brinjal,Suggested to apply Copper oxychoride+Carbendazim
26.12.24,Wilting of Brinjal,Suggested to apply Copper oxychoride+Carbendazim
26.12.24,Brown spot on Chilli leaf,Suggested to Spray Copper Oxicloride
30.12.24,Leaf Curl of tomato,Suggested to Spray Imidacloprid
30.12.24,Cutworm attack on Maize plant,"Use parching, apply irrigation and Spray kerosine mixture water"
30.12.24,Leaf Curl  of Tomato,Apply yellow sticky trap and Neem leaf extract and for severe attack apply imidacloprid
30.12.24,Leaf Curl  of Tomato,Apply yellow sticky trap and Neem leaf extract and for severe attack apply imidacloprid
30.12.24,Stem rot of tomato,Suggested to apply Mancozeb+Carbendazim
30.12.24,Stem rot of tomato,Suggested to apply Mancozeb+Carbendazim
30.12.24,Insect Attack on Pumpkin,Suggested to apply Imidacloprid
30.12.24,Insect Attack on Pumpkin,Suggested to apply Imidacloprid
30.12.24,Stunting growth of Mustard,Apply Urea with irrigation
30.12.24,Suggestion on Mungbean Land Preparation,Ploughing 3-4 times and apply manure and seed sowing should be done in line
30.12.24,Suggestion on Mungbean Land Preparation,Ploughing 3-4 times and apply manure and seed sowing should be done in line
30.12.24,Leaf Curl Of Chilli,Suggested to apply Imidacloprid
30.12.24,Leaf Curl Of Chilli,Suggested to apply Imidacloprid
30.12.24,Attack of Cabbage Butterfly on Cabbage,Suggested to apply Cypermethrin/Lamdacyhalothrin
30.12.24,Attack of Cabbage Butterfly on Caulifloer,Suggested to apply Cypermethrin/Lamdacyhalothrin
02.01.2025,Yellowing of Watermelon Leaves,Suggested to apply Amister to+Imidacloprid
05.01.2025,Sunflower cultivation,Thinning out the seedlings and Gap filling
05.01.2025,Fruit fly attack on Bottle gourd,Suggestion given to use Pheromone box and in severe case apply Cypermethrin
06.01.2025,Sunflower cultivation,Thinning out the seedlings and Gap filling
06.01.2025,Amar Bon,Suggested to irrigate the Saplings regularly
06.01.2025,Sunflower cultivation,Thinning out the seedlings and Gap filling
07.01.2025,Fruit fly attack on Bottle gourd,Suggestion given to use Pheromone box and in severe case apply Cypermethrin
07.01.2025,Drying of young leaves of Maize,Suggested to irrigate land and apply Boron fertilizer
08.01.2025,Stunting growth of Mustard,Suggested to irrigate land and apply UREA
08.01.2025,Fruit fly attack on Bottle gourd,Suggestion given to use Pheromone box and in severe case apply Cypermethrin
08.01.2025,Drying of young leaves of Maize,Suggested to irrigate land and apply Boron fertilizer
08.01.2025,Maize cultivation,Suggested to irrigate land and apply Boron fertilizer
08.01.2025,Sunflower cultivation,Thinning out the seedlings and Gap filling
08.01.2025,Fruit fly attack on Sweet gourd,Suggestion given to use Pheromone box and in severe case apply Cypermethrin
08.01.2025,Mosaic of Cucumber,Suggested to use yellow sticky trap and apply Imidacloprid
08.01.2025,Maize cultivation,Suggested to irrigate land and apply Boron fertilizer
08.01.2025,Spices cultivation,Suggested to irrigate the seedling regularly
08.01.2025,Mosaic of Sweet Gourd,Suggested to use yellow sticky trap and apply Imidacloprid
08.01.2025,Sunflower cultivation,Thinning out the seedlings and Gap filling
08.01.2025,Yellowing leaves of Spices plant,Apply schedule irrigation and suggested to apply compost
09.01.2025,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid
09.01.2025,Cauliflower culivation related problem,Suggested to irrigate properly and apply flora @2gm/L
14.01.2025,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid
14.01.2025,Leaf Curl of Chilli,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid
14.01.2025,Leaf Curl of Tomato,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid
14.01.2025,Leaf Curl of Tomato,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid
14.01.2025,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to apply Imidacloprid"
14.01.2025,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to apply Imidacloprid"
14.01.2025,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to apply Imidacloprid"
14.01.2025,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to apply Imidacloprid"
14.01.2025,Leaf Curl of Tomato,Spray soap water or neem seed soaked water and also suggested to apply Imidacloprid
14.01.2025,Attack Of Cabbage butterfly on Cauliflower,Suggested to apply Cypermethrin/Lamdacyhalothrin
14.01.2025,Attack Of Cabbage butterfly on Cauliflower,Suggested to apply Cypermethrin/Lamdacyhalothrin
16.01.2025,Aphid attack on yard Long Bean,Suggeted to apply ash and yellow sticky trap
16.01.2025,Aphid attack on yard Long Bean,Suggeted to apply ash and yellow sticky trap
19.01.2025,Leaf Curl of Chilli,"Spray soap water or neem seed soaked water, use yellow sticky trap and also suggested to aply Imidacloprid"
19.01.2025,Land Preparation,Suggested to plough land properly and sow seed as fast as possible
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord@2ml/L water
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
19.01.2025,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation and Fungicide"
